Source;Source Type;Target;Target Type
YPR_CV_RE_RETOURS;CV;YPR_TP01;CP
YPR_CV_RE_REFERENCE;CV;YPR_TP01;CP
YPR_CV_RE_P2P;CV;YPR_TP01;CP
YPR_CV_RE_MAVERICKBUYING;CV;YPR_TP01;CP
YPR_CV_RE_DECINCOME;CV;YPR_TP01;CP
YPR_CV_RE_VERARBEITUNG;CV;YPR_TP01;CP
YPR_TP01;CP;YPR_TA01;aDSO
YPR_TA01;aDSO;YPR_TA02;aDSO
YPR_TA01;aDSO;K06_CV_DETAIL;CV
YPR_TA02;aDSO;K06_CV_KACHELN;CV
YST_TA04;aDSO;K06_CV_DETAIL;CV
YST_TA04;aDSO;K06_CV_KACHELN;CV
K06_CV_DETAIL;CV;K06_CP02;CP
K06_CV_KACHELN;CV;K06_CP01;CP
KRE_CP02;CP;YPR_CV_RE_VERARBEITUNG;CV
KAP_CP04;CP;YPR_CV_RE_VERARBEITUNG;CV
YPR_TA99;aDSO;YPR_CV_RE_VERARBEITUNG;CV
KFR_AA02;aDSO;YPR_CV_RE_VERARBEITUNG;CV
KRE_CP02;CP;YPR_CV_RE_RETOURS;CV
KRE_CP04;CP;YPR_CV_RE_RETOURS;CV
K_DOCNR;aDSO;YPR_CV_RE_REFERENCE;CV
YPR_TA99;aDSO;YPR_CV_RE_P2P;CV
KC1_TA01;aDSO;YPR_CV_RE_MAVERICKBUYING;CV
KRE_CP03;CP;YPR_CV_RE_DECINCOME;CV
