Source;Source Type;Target;Target Type
KRE_CP02;CP;WPR_CV_PROCDB_PSINOVA;CV
KAP_CP04;CP;WPR_CV_PROCDB_PSINOVA;CV
WFL_TA01;aDSO;WPR_CV_PROCDB_PLAN;CV
KFR_AA02;aDSO;WPR_CV_PROCDB_FI;CV
KRE_CP02;CP;WPR_CV_PROCDB_RETOURS;CV
KRE_CP04;CP;WPR_CV_PROCDB_RETOURS;CV
K_DOCNR;aDSO;WPR_CV_PROCDB_REFERENCE;CV
WFL_TA01;aDSO;WPR_CV_PROCDB_P2P_FLATFILE;CV
KC1_TA01;aDSO;WPR_CV_PROCDB_MAVERICKBUYING;CV
KRE_CP03;CP;WPR_CV_PROCDB_DEINCOME;CV
WPR_CV_PROCDB_PSINOVA;CV;WPR_TP01;CP
WPR_CV_PROCDB_PLAN;CV;WPR_TP01;CP
WPR_CV_PROCDB_FI;CV;WPR_TP01;CP
WPR_CV_PROCDB_RETOURS;CV;WPR_TP01;CP
WPR_CV_PROCDB_REFERENCE;CV;WPR_TP01;CP
WPR_CV_PROCDB_P2P_FLATFILE;CV;WPR_TP01;CP
WPR_CV_PROCDB_MAVERICKBUYING;CV;WPR_TP01;CP
WPR_CV_PROCDB_DEINCOME;CV;WPR_TP01;CP
WPR_TP01;CP;WPR_TA01;aDSO
WPR_TA01;aDSO;WPR_TA02;aDSO
WPR_TA01;aDSO;K06_CV_DETAIL_RE2;CV
WPR_TA02;aDSO;K06_CV_DETAIL_RE2;CV
WST_TA04;aDSO;K06_CV_DETAIL_RE2;CP
K06_CV_DETAIL_RE2;CV;K06_CV_KACHEL_RE2;CV
K06_CV_DETAIL_RE2;CV;K06_CP11;CP
K06_CV_KACHEL_RE2;CV;K06_CP10;CP
